,1,2,3,4,5,diff
0,40,40,40,40,40,0
1,42,33,41,38,46,13
2,44,31,44,33,48,17
3,39,34,41,33,53,20
4,32,36,42,42,48,16
5,36,29,42,45,48,19
6,34,33,40,46,47,14
7,36,38,35,43,48,13
8,35,41,34,41,49,15
9,28,30,39,50,53,25
10,29,36,33,50,52,23
11,35,33,43,43,46,13
12,39,28,43,44,46,18
13,35,33,51,41,40,18
14,33,31,54,45,37,23
15,29,31,59,41,40,30
16,30,40,54,38,38,24
17,32,38,54,37,39,22
18,27,31,53,42,47,26
19,24,28,43,49,56,32
20,24,31,50,43,52,28
21,24,22,62,41,51,40
22,22,23,63,37,55,41
23,20,26,57,40,57,37
24,18,25,47,43,67,49
25,16,27,42,47,68,52
26,19,32,39,48,62,43
27,18,29,45,43,65,47
28,18,29,53,37,63,45
29,19,31,51,32,67,48
30,16,34,51,28,71,55
31,20,38,46,25,71,51
32,24,44,41,24,67,43
33,26,45,41,22,66,44
34,28,41,50,20,61,41
35,19,43,51,25,62,43
36,17,42,59,25,57,42
37,13,42,60,24,61,48
38,12,38,54,27,69,57
39,18,39,57,21,65,47
40,20,43,65,15,57,50
41,27,40,65,13,55,52
42,23,49,63,16,49,47
43,33,33,66,16,52,50
44,35,30,63,19,53,44
45,32,24,71,20,53,51
46,34,20,64,21,61,44
47,28,24,66,25,57,42
48,32,23,69,20,56,49
49,35,27,69,15,54,54
50,40,28,66,13,53,53
51,46,26,66,13,49,53
52,42,33,60,16,49,44
53,37,41,56,15,51,41
54,44,43,57,12,44,45
55,50,36,52,18,44,34
56,53,38,49,17,43,36
57,46,39,51,23,41,28
58,43,37,56,25,39,31
59,43,35,59,26,37,33
60,39,31,65,30,35,35
61,37,39,70,25,29,45
62,35,38,70,28,29,42
63,32,39,73,23,33,50
64,31,37,60,30,42,30
65,30,43,60,28,39,32
66,32,39,57,33,39,25
67,26,37,53,39,45,27
68,28,40,45,41,46,18
69,31,40,43,42,44,13
70,27,43,43,36,51,24
71,29,39,46,32,54,25
72,29,41,45,32,53,24
73,23,41,47,34,55,32
74,24,42,44,34,56,32
75,29,34,51,36,50,22
76,29,40,49,29,53,24
77,31,39,41,33,56,25
78,27,37,45,32,59,32
79,27,39,49,25,60,35
80,35,37,43,29,56,27
81,35,32,43,30,60,30
82,39,32,45,24,60,36
83,36,31,52,18,63,45
84,32,31,50,24,63,39
85,33,33,43,25,66,41
86,35,32,48,20,65,45
87,35,29,54,25,57,32
88,26,33,54,25,62,37
89,28,36,56,28,52,28
90,29,37,57,30,47,28
91,25,34,65,28,48,40
92,22,33,76,27,42,54
93,24,31,77,31,37,53
94,23,31,77,32,37,54
95,25,29,68,32,46,43
96,28,22,79,29,42,57
97,31,25,76,31,37,51
98,30,24,77,35,34,53
99,30,25,81,30,34,56
100,29,24,72,38,37,48
